Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1900,-0.57,-0.02,0.19,-0.14,0.06,-0.1,-0.03,0.02,0.03,0.25,-0.16,-0.04,-0.04,-0.08,-0.35,0.04,-0.04,0.04
1901,-0.35,0.06,0.3,0.1,-0.11,0.04,0.05,-0.05,-0.18,-0.27,-0.16,-0.37,-0.08,-0.05,-0.11,0.1,0.01,-0.21
1902,-0.15,0.16,-0.34,-0.38,-0.42,-0.4,-0.27,-0.23,-0.23,-0.27,-0.48,-0.66,-0.31,-0.28,-0.12,-0.38,-0.3,-0.33
1903,-0.21,0.22,-0.15,-0.46,-0.51,-0.55,-0.34,-0.51,-0.4,-0.42,-0.36,-0.51,-0.35,-0.36,-0.22,-0.37,-0.47,-0.39
1904,-0.77,-0.55,-0.41,-0.57,-0.48,-0.51,-0.56,-0.43,-0.56,-0.33,-0.08,-0.25,-0.46,-0.48,-0.61,-0.48,-0.5,-0.32
1905,-0.46,-0.74,-0.21,-0.45,-0.31,-0.31,-0.18,-0.23,-0.11,-0.24,0.05,-0.28,-0.29,-0.28,-0.48,-0.32,-0.24,-0.1
1906,-0.55,-0.56,-0.12,0.09,-0.17,-0.07,-0.28,-0.1,-0.19,-0.11,-0.39,0.01,-0.2,-0.23,-0.46,-0.07,-0.15,-0.23
1907,-0.53,-0.69,-0.22,-0.47,-0.6,-0.51,-0.42,-0.4,-0.39,-0.2,-0.62,-0.56,-0.47,-0.42,-0.4,-0.43,-0.44,-0.4
1908,-0.51,-0.28,-0.7,-0.49,-0.37,-0.36,-0.39,-0.57,-0.3,-0.45,-0.6,-0.54,-0.46,-0.46,-0.45,-0.52,-0.44,-0.45
1909,-0.89,-0.48,-0.61,-0.68,-0.52,-0.52,-0.41,-0.3,-0.36,-0.32,-0.13,-0.53,-0.48,-0.48,-0.64,-0.61,-0.41,-0.27
1910,-0.38,-0.39,-0.47,-0.35,-0.35,-0.45,-0.37,-0.38,-0.4,-0.25,-0.55,-0.79,-0.43,-0.41,-0.44,-0.39,-0.4,-0.4
1911,-0.74,-0.6,-0.61,-0.45,-0.46,-0.27,-0.36,-0.42,-0.32,-0.13,-0.14,-0.32,-0.4,-0.44,-0.71,-0.5,-0.35,-0.2
1912,-0.4,-0.16,-0.61,-0.23,-0.17,-0.2,-0.56,-0.75,-0.68,-0.8,-0.46,-0.56,-0.46,-0.44,-0.29,-0.33,-0.5,-0.65
1913,-0.57,-0.58,-0.44,-0.5,-0.61,-0.58,-0.57,-0.47,-0.43,-0.43,-0.12,0.1,-0.43,-0.49,-0.57,-0.52,-0.54,-0.33
1914,0.19,-0.08,-0.29,-0.37,-0.26,-0.28,-0.37,-0.22,-0.21,0.02,-0.23,-0.1,-0.18,-0.17,0.07,-0.31,-0.29,-0.14
1915,-0.18,-0.02,-0.23,0.07,0,-0.08,-0.03,-0.13,-0.12,-0.25,0,-0.16,-0.09,-0.09,-0.1,-0.05,-0.08,-0.12
1916,-0.05,-0.14,-0.39,-0.29,-0.29,-0.44,-0.3,-0.3,-0.37,-0.23,-0.33,-1.06,-0.35,-0.28,-0.12,-0.33,-0.35,-0.31
1917,-0.51,-0.62,-0.64,-0.49,-0.7,-0.45,-0.3,-0.37,-0.23,-0.54,-0.2,-1.09,-0.51,-0.51,-0.73,-0.61,-0.38,-0.32
1918,-0.55,-0.3,-0.13,-0.53,-0.47,-0.37,-0.32,-0.27,-0.15,0.05,-0.2,-0.56,-0.32,-0.36,-0.65,-0.38,-0.32,-0.1
1919,-0.39,-0.39,-0.42,-0.29,-0.44,-0.38,-0.29,-0.19,-0.1,-0.06,-0.44,-0.5,-0.32,-0.33,-0.44,-0.39,-0.29,-0.2
1920,-0.05,-0.2,0.08,-0.23,-0.2,-0.25,-0.24,-0.29,-0.32,-0.38,-0.43,-0.65,-0.26,-0.25,-0.25,-0.12,-0.26,-0.37
1921,0.25,-0.1,-0.08,-0.14,-0.22,-0.12,-0.01,-0.23,-0.13,0.02,-0.06,-0.12,-0.08,-0.12,-0.17,-0.15,-0.12,-0.06
1922,-0.37,-0.62,-0.06,-0.16,-0.19,-0.16,-0.25,-0.31,-0.34,-0.29,-0.11,-0.13,-0.25,-0.25,-0.37,-0.14,-0.24,-0.25
1923,-0.2,-0.42,-0.38,-0.52,-0.39,-0.21,-0.25,-0.19,-0.09,0.14,0.24,0.14,-0.18,-0.2,-0.25,-0.43,-0.22,0.1
1924,-0.24,-0.2,0.06,-0.28,-0.06,-0.16,-0.15,-0.21,-0.18,-0.19,0.15,-0.33,-0.15,-0.11,-0.1,-0.09,-0.18,-0.07
1925,-0.2,-0.31,-0.15,-0.11,-0.21,-0.23,-0.23,-0.11,0.05,-0.02,0.25,0.3,-0.08,-0.13,-0.28,-0.16,-0.19,0.09
1926,0.52,0.26,0.38,-0.1,-0.2,-0.16,-0.15,-0.06,0,0.1,0.21,-0.24,0.04,0.09,0.36,0.02,-0.12,0.1
1927,-0.24,-0.06,-0.42,-0.28,-0.12,-0.12,-0.03,-0.09,0.08,0.28,0.18,-0.34,-0.1,-0.09,-0.18,-0.27,-0.08,0.18
1928,0.31,0.14,-0.24,-0.28,-0.12,-0.26,-0.08,-0.16,-0.11,-0.04,0.08,-0.05,-0.07,-0.09,0.04,-0.21,-0.17,-0.02
1929,-0.54,-0.8,-0.15,-0.31,-0.27,-0.33,-0.3,-0.14,-0.15,0.03,0.02,-0.63,-0.3,-0.25,-0.46,-0.24,-0.26,-0.03
1930,-0.1,-0.19,0.17,-0.15,-0.19,-0.11,0.03,0.09,0.03,0.1,0.41,0.08,0.02,-0.04,-0.3,-0.06,0,0.18
1931,0.04,-0.29,0.02,-0.15,-0.13,0.16,0.1,0.11,0.18,0.3,0.17,0.05,0.05,0.05,-0.06,-0.09,0.12,0.22
1932,0.42,-0.18,-0.18,0.12,-0.1,-0.12,-0.09,-0.06,0.12,0.16,-0.25,-0.14,-0.03,-0.01,0.1,-0.06,-0.09,0.01
1933,-0.36,-0.37,-0.3,-0.18,-0.25,-0.28,-0.12,-0.16,-0.21,-0.09,-0.19,-0.54,-0.25,-0.22,-0.29,-0.24,-0.18,-0.16
1934,-0.19,0.35,-0.31,-0.25,0.06,-0.02,-0.03,-0.08,-0.14,0.11,0.29,0.19,0,-0.06,-0.13,-0.17,-0.04,0.09
1935,-0.39,0.6,0.07,-0.31,-0.31,-0.13,-0.04,-0.07,-0.02,0.1,-0.34,-0.19,-0.09,-0.05,0.13,-0.18,-0.08,-0.09
1936,-0.29,-0.51,-0.13,-0.05,-0.02,0.05,0.14,0.04,0.07,0.06,0.08,0.15,-0.03,-0.06,-0.33,-0.07,0.08,0.07
1937,0,0.29,-0.15,-0.07,0.08,0.13,0.14,0.16,0.34,0.35,0.27,-0.08,0.12,0.14,0.15,-0.05,0.15,0.32
1938,0.23,0.18,0.32,0.3,0.03,-0.08,-0.02,0.1,0.21,0.26,0.26,-0.29,0.13,0.14,0.11,0.22,0,0.24
1939,-0.01,-0.04,-0.26,-0.06,-0.03,-0.02,0.03,0.07,0.13,0.07,0.22,0.8,0.07,-0.02,-0.11,-0.12,0.03,0.14
1940,-0.24,0.2,0.15,0.3,0.1,0.08,0.13,0.01,0.19,0.21,0.28,0.26,0.14,0.18,0.26,0.18,0.07,0.23
1941,0.2,0.45,0.04,0.11,0.15,0.14,0.19,0.12,0.05,0.37,0.11,0.1,0.17,0.18,0.3,0.1,0.15,0.18
1942,0.34,-0.04,0.13,0.14,0.14,0.13,0.03,-0.05,0.12,0.29,0.29,0.21,0.14,0.13,0.13,0.14,0.03,0.23
1943,-0.1,0.38,0.04,0.31,0.22,-0.04,0.05,0.13,0.16,0.47,0.39,0.43,0.2,0.19,0.16,0.19,0.05,0.34
1944,0.65,0.47,0.34,0.19,0.22,0.17,0.12,0.13,0.36,0.42,0.18,-0.01,0.27,0.31,0.52,0.25,0.14,0.32
1945,0.1,-0.1,0.09,0.23,0.05,0.06,0.02,0.27,0.17,0.27,0.13,-0.23,0.09,0.11,-0.01,0.13,0.12,0.19
1946,0.34,0.21,0.09,0.34,0.06,0.01,-0.01,0,0.01,0.05,0.13,-0.39,0.07,0.08,0.11,0.16,0,0.06
1947,-0.15,-0.04,0.27,0.2,-0.03,-0.03,-0.05,-0.05,-0.04,0.4,0.12,-0.14,0.04,0.02,-0.19,0.15,-0.05,0.16
1948,0.3,-0.11,-0.28,0.01,0.26,0.01,-0.01,0.05,-0.02,0.03,0.11,-0.34,0,0.02,0.01,0,0.02,0.04
1949,0.29,-0.15,0.02,-0.01,0.02,-0.16,-0.12,0,-0.04,0.11,0.05,-0.21,-0.02,-0.03,-0.07,0.01,-0.09,0.04
1950,-0.43,-0.31,0.08,-0.21,-0.02,-0.05,-0.2,-0.23,-0.1,-0.08,-0.38,-0.08,-0.17,-0.18,-0.32,-0.05,-0.16,-0.19
1951,-0.35,-0.52,-0.15,0.08,0.17,0,0.09,0.23,0.32,0.26,0.12,0.34,0.05,0.01,-0.32,0.03,0.11,0.23
1952,0.19,0.16,-0.25,0.15,0.14,0.16,0.14,0.05,0.15,-0.03,-0.23,0.03,0.05,0.08,0.23,0.01,0.12,-0.04
1953,0.27,0.36,0.26,0.43,0.22,0.21,0.18,0.16,0.16,0.24,0.03,0.18,0.23,0.21,0.22,0.3,0.18,0.15
1954,-0.3,-0.05,-0.16,-0.07,-0.13,-0.04,-0.1,0.01,0.09,0.09,0.3,-0.17,-0.04,-0.02,-0.06,-0.12,-0.04,0.16
1955,0.42,-0.15,-0.45,-0.22,-0.13,-0.05,-0.04,0.05,0,0.12,-0.35,-0.33,-0.09,-0.08,0.04,-0.26,-0.01,-0.08
1956,-0.11,-0.35,-0.26,-0.24,-0.31,-0.2,-0.21,-0.26,-0.34,-0.3,-0.3,-0.16,-0.25,-0.27,-0.26,-0.27,-0.22,-0.31
1957,-0.17,-0.07,-0.12,-0.1,-0.06,0.12,0.11,0.17,0.14,0.07,0.12,0.27,0.04,0,-0.13,-0.09,0.13,0.11
1958,0.71,0.32,0.19,0.04,0.13,0.03,0.05,0.14,0.07,0.08,0.06,0.19,0.17,0.17,0.43,0.12,0.07,0.07
1959,0.24,0.17,0.31,0.2,0.01,0.12,0.03,0.06,0.11,-0.06,0,0.06,0.11,0.12,0.2,0.17,0.07,0.02
1960,0.13,0.45,-0.42,-0.13,0.03,0.18,0.08,0.1,0.12,0.06,-0.09,0.38,0.08,0.05,0.22,-0.17,0.12,0.03
1961,0.16,0.28,0.19,0.13,0.05,0.18,0.06,0.07,-0.06,-0.05,0.08,-0.16,0.08,0.12,0.27,0.12,0.1,-0.01
1962,0.3,0.37,0.32,0.22,0.07,-0.09,0.13,0.07,0,0.13,0.15,0.13,0.15,0.13,0.17,0.2,0.04,0.09
1963,0.09,0.52,-0.12,0.05,-0.03,-0.02,0.13,0.17,0.15,0.42,0.45,0.07,0.16,0.16,0.25,-0.03,0.09,0.34
1964,-0.03,-0.09,-0.34,-0.3,-0.1,-0.09,-0.12,-0.22,-0.28,-0.31,-0.21,-0.28,-0.2,-0.17,-0.01,-0.25,-0.14,-0.27
1965,-0.01,-0.38,-0.04,-0.26,-0.09,-0.2,-0.17,-0.19,-0.19,-0.03,0.05,-0.04,-0.13,-0.15,-0.22,-0.13,-0.18,-0.05
1966,-0.21,0.1,0.01,-0.22,0,0.05,0.11,0.16,0.1,-0.07,0.02,-0.07,0,0,-0.05,-0.07,0.11,0.02
1967,-0.14,-0.37,0.21,0.06,0.23,-0.04,0.06,0.06,-0.02,0.3,0.01,0.05,0.03,0.02,-0.2,0.17,0.02,0.1
1968,-0.29,-0.19,0.47,0.01,-0.04,-0.03,-0.07,-0.08,-0.04,0.04,-0.16,-0.29,-0.06,-0.03,-0.14,0.15,-0.06,-0.06
1969,-0.42,-0.42,-0.15,0.05,0.12,-0.05,0.07,0.04,0.05,0.05,0.17,0.37,-0.01,-0.06,-0.37,0.01,0.02,0.09
1970,-0.02,0.31,-0.07,0,-0.03,0,-0.04,-0.07,-0.04,-0.17,0.02,-0.3,-0.03,0.02,0.22,-0.03,-0.04,-0.06
1971,-0.13,-0.28,-0.25,-0.2,-0.12,-0.14,-0.12,-0.18,-0.14,-0.16,0.01,-0.16,-0.16,-0.17,-0.24,-0.19,-0.15,-0.1
1972,-0.57,-0.52,-0.01,-0.12,-0.17,-0.09,-0.06,-0.07,-0.28,-0.05,-0.21,-0.05,-0.18,-0.19,-0.41,-0.1,-0.07,-0.18
1973,0.15,0.43,0.3,0.17,0.12,0.16,0.02,0.01,-0.08,-0.02,-0.09,-0.01,0.1,0.09,0.18,0.2,0.06,-0.06
1974,-0.32,-0.38,0.02,-0.11,-0.18,-0.19,-0.13,-0.11,-0.17,-0.25,-0.24,-0.29,-0.2,-0.17,-0.24,-0.09,-0.14,-0.22
1975,0.1,0.08,0.13,0.06,0,-0.06,-0.08,-0.14,-0.08,-0.14,-0.29,-0.22,-0.05,-0.06,-0.04,0.06,-0.09,-0.17
1976,0.07,-0.11,-0.32,0.01,-0.27,-0.22,-0.3,-0.24,-0.11,-0.5,-0.32,-0.26,-0.21,-0.21,-0.08,-0.19,-0.25,-0.31
1977,-0.15,0.1,0.26,0.27,0.22,0.2,0.07,0.02,0.15,-0.02,0.27,0.02,0.12,0.09,-0.1,0.25,0.1,0.13
1978,0.14,0.14,0.2,0.06,-0.08,-0.14,-0.07,-0.13,-0.01,-0.04,0.17,0.08,0.03,0.02,0.1,0.06,-0.12,0.04
1979,0.02,-0.35,0.16,-0.17,0,0.06,0.04,0.03,0.17,0.21,0.24,0.52,0.08,0.04,-0.08,0,0.04,0.21
1980,0.2,0.43,0.07,0.13,0.22,0.18,0.12,0.09,0.08,0.15,0.2,0.08,0.16,0.2,0.38,0.14,0.13,0.14
1981,0.84,0.62,0.68,0.38,0.16,0.29,0.11,0.19,0.18,0.25,0.38,0.58,0.39,0.35,0.51,0.4,0.2,0.27
1982,-0.07,0.16,0.04,0.12,0.08,0.01,0.05,-0.06,0.08,0.01,-0.12,0.37,0.06,0.07,0.22,0.08,0,-0.01
1983,0.55,0.37,0.45,0.08,0.05,0.12,0.21,0.25,0.28,0.11,0.53,0.13,0.26,0.28,0.43,0.19,0.19,0.31
1984,0.32,0.07,0.2,-0.07,0.22,0.11,0.08,0.03,-0.02,0.07,-0.13,-0.42,0.04,0.08,0.17,0.12,0.07,-0.03
1985,0.08,-0.3,0,-0.06,0.08,0.04,-0.1,-0.02,0.01,0.02,0.03,0.15,-0.01,-0.05,-0.22,0.01,-0.03,0.02
1986,0.36,0.33,0.25,0.16,0.19,0.13,-0.02,0.04,0.01,0.06,0.01,0.09,0.13,0.14,0.28,0.2,0.05,0.03
1987,0.28,0.56,0.02,0.09,0.23,0.18,0.28,0.27,0.43,0.24,0.09,0.54,0.27,0.23,0.31,0.11,0.25,0.25
1988,0.6,0.42,0.48,0.45,0.43,0.39,0.4,0.26,0.28,0.25,0.05,0.47,0.37,0.38,0.52,0.45,0.35,0.19
1989,0.11,0.47,0.43,0.35,0.22,0.26,0.31,0.28,0.28,0.28,0.13,0.37,0.29,0.3,0.35,0.34,0.28,0.23
1990,0.44,0.5,1.14,0.66,0.48,0.49,0.3,0.36,0.41,0.46,0.49,0.38,0.51,0.51,0.44,0.76,0.38,0.45
1991,0.54,0.52,0.46,0.55,0.37,0.44,0.46,0.35,0.39,0.31,0.35,0.22,0.41,0.43,0.48,0.46,0.42,0.35
1992,0.54,0.48,0.49,0.09,0.18,0.04,-0.08,-0.06,-0.19,-0.13,-0.07,0.22,0.13,0.13,0.41,0.25,-0.03,-0.13
1993,0.42,0.54,0.4,0.21,0.3,0.23,0.13,0.02,-0.05,0.16,-0.14,0.22,0.2,0.2,0.39,0.3,0.13,-0.01
1994,0.37,-0.02,0.43,0.48,0.38,0.43,0.35,0.31,0.31,0.54,0.52,0.34,0.37,0.36,0.19,0.43,0.36,0.46
1995,0.73,1.15,0.56,0.73,0.41,0.48,0.4,0.56,0.43,0.62,0.57,0.31,0.58,0.58,0.74,0.57,0.48,0.54
1996,0.31,0.59,0.3,0.22,0.38,0.26,0.3,0.19,0.07,0.06,0.38,0.4,0.29,0.28,0.4,0.3,0.25,0.17
1997,0.38,0.56,0.79,0.53,0.44,0.51,0.44,0.47,0.56,0.69,0.62,0.54,0.54,0.53,0.45,0.58,0.47,0.62
1998,0.67,1.06,0.73,0.89,0.67,0.75,0.79,0.75,0.63,0.58,0.61,0.77,0.74,0.72,0.76,0.77,0.76,0.6
1999,0.6,1.02,0.32,0.56,0.44,0.4,0.38,0.37,0.41,0.45,0.57,0.73,0.52,0.52,0.8,0.44,0.38,0.48
2000,0.35,0.88,0.87,0.89,0.57,0.49,0.44,0.5,0.4,0.32,0.21,0.31,0.52,0.55,0.65,0.78,0.47,0.31
2001,0.55,0.49,0.78,0.59,0.63,0.56,0.64,0.69,0.56,0.62,0.95,0.67,0.65,0.62,0.45,0.67,0.63,0.71
2002,1,1.08,1.14,0.5,0.52,0.71,0.7,0.54,0.61,0.57,0.78,0.49,0.72,0.73,0.92,0.72,0.65,0.65
2003,0.91,0.52,0.61,0.6,0.72,0.55,0.67,0.83,0.79,0.97,0.68,0.99,0.74,0.7,0.64,0.64,0.68,0.82
2004,0.7,0.91,0.88,0.74,0.57,0.5,0.5,0.55,0.61,0.76,0.96,0.42,0.68,0.72,0.87,0.73,0.52,0.78
2005,0.87,0.66,0.89,0.93,0.79,0.82,0.78,0.71,0.93,0.95,1.03,0.8,0.85,0.81,0.65,0.87,0.77,0.97
2006,0.65,0.89,0.8,0.61,0.74,0.78,0.67,0.66,0.75,0.97,0.93,1.11,0.8,0.77,0.78,0.72,0.7,0.89
2007,1.32,0.93,0.93,1.07,0.71,0.65,0.63,0.7,0.67,0.83,0.78,0.73,0.83,0.86,1.12,0.9,0.66,0.76
2008,0.22,0.52,1.1,0.65,0.6,0.63,0.58,0.6,0.59,0.86,0.92,0.66,0.66,0.67,0.49,0.78,0.6,0.79
2009,0.79,0.7,0.59,0.69,0.66,0.7,0.65,0.7,0.8,0.76,0.82,0.68,0.71,0.71,0.72,0.65,0.68,0.79
2010,0.79,0.88,1.11,1.15,0.93,0.81,0.85,0.82,0.65,0.89,1.17,0.57,0.89,0.9,0.78,1.07,0.83,0.9
2011,0.57,0.62,0.87,0.82,0.64,0.74,0.71,0.67,0.69,0.88,0.62,0.77,0.72,0.7,0.59,0.78,0.71,0.73
2012,0.62,0.57,0.71,1.03,0.92,0.87,0.81,0.7,0.87,0.86,0.91,0.47,0.78,0.8,0.65,0.89,0.79,0.88
2013,0.8,0.65,0.8,0.67,0.76,0.74,0.69,0.68,0.7,0.83,1.05,0.79,0.76,0.74,0.64,0.74,0.71,0.86
2014,0.96,0.69,1.18,1.05,0.9,0.83,0.74,0.9,0.86,0.97,0.83,1.11,0.92,0.89,0.81,1.05,0.82,0.89
2015,1.14,1.15,1.23,1.02,0.97,1.03,0.88,0.99,1.12,1.24,1.34,1.44,1.13,1.1,1.13,1.07,0.97,1.23
2016,1.52,1.9,1.81,1.43,1.03,1.09,1.02,1.07,1.18,1.03,1.08,0.97,1.26,1.3,1.62,1.42,1.06,1.1
2017,1.22,1.43,1.45,1.16,0.88,0.91,***,***,***,***,***,***,***,***,1.21,1.16,***,***
